pCONS,biorep,sample,normalized_freq,log_freq,plant,fluor,tech,ensemb_lab
35s,Rep1,TG,2.114772075858592,1.080502182140598,Tobacco,GFP,Tech1,35s
35s,Rep1,TG2,2.407390499413473,1.2674701783196654,Tobacco,GFP,Tech2,35s
35s,Rep2,TG,2.4611954662092494,1.2993592400522345,Tobacco,GFP,Tech1,35s
35s,Rep2,TG2,2.4618067750893964,1.2997175304819946,Tobacco,GFP,Tech2,35s
35s,Rep3,TG,2.3457184860888907,1.23002988331815,Tobacco,GFP,Tech1,35s
35s,Rep3,TG2,2.4085791543911976,1.2681823367424903,Tobacco,GFP,Tech2,35s
35s,Rep4,TG,2.327453699692489,1.218752468369059,Tobacco,GFP,Tech1,35s
35s,Rep4,TG2,2.6443991329110443,1.4029399467446007,Tobacco,GFP,Tech2,35s
35s,Rep5,TG,2.615991790046774,1.3873580131305707,Tobacco,GFP,Tech1,35s
35s,Rep5,TG2,2.731370503021685,1.449625025057827,Tobacco,GFP,Tech2,35s
35s,Rep6,TG,2.2839582161888057,1.191536257597164,Tobacco,GFP,Tech1,35s
35s,Rep6,TG2,2.328054239200686,1.2191246706664287,Tobacco,GFP,Tech2,35s
PNOS,Rep1,TG,0.8803604261717232,-0.18383380000887115,Tobacco,GFP,Tech1,PNOS
PNOS,Rep1,TG2,0.812965581715648,-0.298733820249116,Tobacco,GFP,Tech2,PNOS
PNOS,Rep2,TG,0.5956205290896666,-0.7475346151355063,Tobacco,GFP,Tech1,PNOS
PNOS,Rep2,TG2,0.6062894265565661,-0.7219214322496801,Tobacco,GFP,Tech2,PNOS
PNOS,Rep3,TG,0.845205877060543,-0.24262529593369722,Tobacco,GFP,Tech1,PNOS
PNOS,Rep3,TG2,0.7537739941805379,-0.407796073185668,Tobacco,GFP,Tech2,PNOS
PNOS,Rep4,TG,0.6339458516478976,-0.6575684767549168,Tobacco,GFP,Tech1,PNOS
PNOS,Rep4,TG2,0.657706745793403,-0.6044836274844461,Tobacco,GFP,Tech2,PNOS
PNOS,Rep5,TG,0.7620996749948521,-0.391948394784875,Tobacco,GFP,Tech1,PNOS
PNOS,Rep5,TG2,0.7340212368497795,-0.44610629087249826,Tobacco,GFP,Tech2,PNOS
PNOS,Rep6,TG,0.7374807125013861,-0.43932277615937565,Tobacco,GFP,Tech1,PNOS
PNOS,Rep6,TG2,0.707778948072242,-0.4986292434992585,Tobacco,GFP,Tech2,PNOS
pCH1,Rep1,TG,0.512138891789221,-0.9653929734866903,Tobacco,GFP,Tech1,pCH1-5
pCH1,Rep1,TG2,0.4531580522312674,-1.1419137744148051,Tobacco,GFP,Tech2,pCH1-5
pCH1,Rep2,TG,0.5573204131555546,-0.843421098444349,Tobacco,GFP,Tech1,pCH1-5
pCH1,Rep2,TG2,0.5188697229178844,-0.9465557406846667,Tobacco,GFP,Tech2,pCH1-5
pCH1,Rep3,TG,0.6080892195220935,-0.717645081878214,Tobacco,GFP,Tech1,pCH1-5
pCH1,Rep3,TG2,0.5071759291922713,-0.9794418187692758,Tobacco,GFP,Tech2,pCH1-5
pCH1,Rep4,TG,0.4637746906270106,-1.1085040043195842,Tobacco,GFP,Tech1,pCH1-5
pCH1,Rep4,TG2,0.42408618930944353,-1.237570593653566,Tobacco,GFP,Tech2,pCH1-5
pCH1,Rep5,TG,0.5421417137705219,-0.8832580790454163,Tobacco,GFP,Tech1,pCH1-5
pCH1,Rep5,TG2,0.5039093368072065,-0.9887639070046597,Tobacco,GFP,Tech2,pCH1-5
pCH1,Rep6,TG,0.5823502432005925,-0.7800409999179322,Tobacco,GFP,Tech1,pCH1-5
pCH1,Rep6,TG2,0.5267717883258005,-0.9247500118827718,Tobacco,GFP,Tech2,pCH1-5
pCH2,Rep1,TG,0.7000436091919603,-0.5144832973936139,Tobacco,GFP,Tech1,pCH1-5
pCH2,Rep1,TG2,0.6135526122598423,-0.7047410343049628,Tobacco,GFP,Tech2,pCH1-5
pCH2,Rep2,TG,0.6055929403622549,-0.7235797075355307,Tobacco,GFP,Tech1,pCH1-5
pCH2,Rep2,TG2,0.6176337618769946,-0.6951764777068623,Tobacco,GFP,Tech2,pCH1-5
pCH2,Rep3,TG,0.7769732180964257,-0.36406322442089367,Tobacco,GFP,Tech1,pCH1-5
pCH2,Rep3,TG2,0.6625840528619032,-0.5938246139766027,Tobacco,GFP,Tech2,pCH1-5
pCH2,Rep4,TG,0.5924808069345506,-0.7551596753723893,Tobacco,GFP,Tech1,pCH1-5
pCH2,Rep4,TG2,0.5891201734208623,-0.7633661383968909,Tobacco,GFP,Tech2,pCH1-5
pCH2,Rep5,TG,0.6298978894093701,-0.6668101176754414,Tobacco,GFP,Tech1,pCH1-5
pCH2,Rep5,TG2,0.6143812232990685,-0.7027939697580805,Tobacco,GFP,Tech2,pCH1-5
pCH2,Rep6,TG,0.7701355717484449,-0.3768156601540961,Tobacco,GFP,Tech1,pCH1-5
pCH2,Rep6,TG2,0.6644804256550488,-0.5897013938454031,Tobacco,GFP,Tech2,pCH1-5
pCH3,Rep1,TG,1.0592426405479192,0.08303310511728133,Tobacco,GFP,Tech1,pCH1-5
pCH3,Rep1,TG2,0.7108507234929012,-0.4923814648421866,Tobacco,GFP,Tech2,pCH1-5
pCH3,Rep2,TG,1.7477633928495582,0.8055098901776652,Tobacco,GFP,Tech1,pCH1-5
pCH3,Rep2,TG2,0.6536797666568351,-0.613344052746205,Tobacco,GFP,Tech2,pCH1-5
pCH3,Rep3,TG,0.8468452509529302,-0.2398297334526322,Tobacco,GFP,Tech1,pCH1-5
pCH3,Rep3,TG2,0.6347258287611551,-0.655794543794238,Tobacco,GFP,Tech2,pCH1-5
pCH3,Rep4,TG,1.4477825111961269,0.5338448941440475,Tobacco,GFP,Tech1,pCH1-5
pCH3,Rep4,TG2,0.327493164730456,-1.6104632991147787,Tobacco,GFP,Tech2,pCH1-5
pCH3,Rep5,TG,0.6718538005373587,-0.5737807669234153,Tobacco,GFP,Tech1,pCH1-5
pCH3,Rep5,TG2,0.36011354386684236,-1.4734762345924932,Tobacco,GFP,Tech2,pCH1-5
pCH3,Rep6,TG,0.8922101962800111,-0.1645444593979854,Tobacco,GFP,Tech1,pCH1-5
pCH3,Rep6,TG2,0.649397736103426,-0.6228257397029262,Tobacco,GFP,Tech2,pCH1-5
pCH4,Rep1,TG,0.22959954671961277,-2.122808301070679,Tobacco,GFP,Tech1,pCH1-5
pCH4,Rep1,TG2,0.16759739155100162,-2.576928399464173,Tobacco,GFP,Tech2,pCH1-5
pCH4,Rep2,TG,0.25131330461721135,-1.992441044849929,Tobacco,GFP,Tech1,pCH1-5
pCH4,Rep2,TG2,0.17115861170164579,-2.5465942127254153,Tobacco,GFP,Tech2,pCH1-5
pCH4,Rep3,TG,0.1770671860953872,-2.497631216754215,Tobacco,GFP,Tech1,pCH1-5
pCH4,Rep3,TG2,0.12569636618706767,-2.9919851520475964,Tobacco,GFP,Tech2,pCH1-5
pCH4,Rep4,TG,0.21951926441700348,-2.1875805425557235,Tobacco,GFP,Tech1,pCH1-5
pCH4,Rep4,TG2,0.15746470697852322,-2.6668995854667528,Tobacco,GFP,Tech2,pCH1-5
pCH4,Rep5,TG,0.20844870131160076,-2.2622357110699154,Tobacco,GFP,Tech1,pCH1-5
pCH4,Rep5,TG2,0.15123795822360636,-2.725107817311264,Tobacco,GFP,Tech2,pCH1-5
pCH4,Rep6,TG,0.21571504438120595,-2.2128012985592025,Tobacco,GFP,Tech1,pCH1-5
pCH4,Rep6,TG2,0.1686973342775307,-2.567490918268239,Tobacco,GFP,Tech2,pCH1-5
pCH5,Rep1,TG,0.648003880373456,-0.625925642612678,Tobacco,GFP,Tech1,pCH1-5
pCH5,Rep1,TG2,0.6247341426735957,-0.6786857173452981,Tobacco,GFP,Tech2,pCH1-5
pCH5,Rep2,TG,0.612716706062166,-0.7067079071522365,Tobacco,GFP,Tech1,pCH1-5
pCH5,Rep2,TG2,0.6072164517212632,-0.7197172157032421,Tobacco,GFP,Tech2,pCH1-5
pCH5,Rep3,TG,0.7797325511416766,-0.3589487315624272,Tobacco,GFP,Tech1,pCH1-5
pCH5,Rep3,TG2,0.7015355244613523,-0.5114119337840636,Tobacco,GFP,Tech2,pCH1-5
pCH5,Rep4,TG,0.7106216303392499,-0.49284649190886864,Tobacco,GFP,Tech1,pCH1-5
pCH5,Rep4,TG2,0.6894647546330974,-0.5364512916842964,Tobacco,GFP,Tech2,pCH1-5
pCH5,Rep5,TG,0.7165784991058333,-0.480803338666022,Tobacco,GFP,Tech1,pCH1-5
pCH5,Rep5,TG2,0.6738731268713612,-0.569451100606695,Tobacco,GFP,Tech2,pCH1-5
pCH5,Rep6,TG,0.951361605752616,-0.07193429147894359,Tobacco,GFP,Tech1,pCH1-5
