pCONS_label,rep,GFP,log_GFP
pCH3,1,314022,5.496960075283108
pCH3,2,476617,5.678169528724919
pCH3,3,493954,5.693686506663821
pCH1,1,190989,5.281008354803379
pCH1,2,265522,5.424100510663324
pCH3,2,462362,5.664982133655411
pCH3,3,320554,5.505901200552426
pCH1,1,251901,5.401229891569649
pCH1,3,270870,5.432760907742915
pCH3,1,424513,5.627890994325123
pCH1,1,267891,5.427958123402933
pCH1,3,248123,5.394667023482649
pCH3,1,487337,5.687829385495427
pCH3,2,420375,5.623636880322692
pCH3,3,362283,5.55904795539967
pCH1,2,196272,5.292858347929923
pCH1,3,310769,5.492437690307746
pCH3,1,429856,5.633322993069634
pCH3,2,428795,5.632249712587069
pCH1,2,225764,5.353654691141572
pCH3,1,326136,5.513398740352772
pCH3,3,385913,5.586489408613299
pCH1,1,240621,5.381333527351831
pCH1,2,314333,5.497389977471842
pCH1,3,355901,5.551329208273224
pCH3,1,422480,5.625806154480438
pCH3,2,606484,5.7828193479835175
pCH3,3,363291,5.560254638989188
pCH1,1,307008,5.487149692449784
pCH1,2,234377,5.369914991035561
pCH1,3,285489,5.45558937937229
pCH3,2,507122,5.705112451548371
pCH3,3,396957,5.598743464762754
pCH1,1,264737,5.422814643125575
pCH1,2,253187,5.403441402872939
pCH1,3,231700,5.364926033789976
pCL2,1,22543,4.353011711033453
empty,1,449,2.6522463410033232
pCL2,2,31848,4.503082164576042
pCL2,3,39567,4.597333122976736
pCL1,1,13859,4.141731894767141
pCL1,2,9298,3.9683895418470683
pCL1,3,16835,4.226213120724108
pCL2,1,20571,4.313255404185037
empty,1,450,2.6532125137753435
pCL2,2,29329,4.467297255551788
pCL2,3,39770,4.599555590985981
pCL1,1,20894,4.320021590369593
pCL1,3,16632,4.220944476323413
pCL2,1,20309,4.307688539595161
pCL2,3,33202,4.5211642452342335
pCL1,2,2938,3.4680517914542377
pCL1,3,16045,4.205339721431523
pCL2,2,23067,4.362991115623569
pCL2,3,59486,4.774414766767753
pCL1,1,17833,4.251224409571832
pCL1,2,7971,3.90151280912994
pCL1,3,12542,4.098366796439331
pCL2,1,16028,4.204879333760662
pCL1,1,17199,4.235503196494338
pCL1,2,14398,4.158302169228023
pCL2,1,20680,4.315550534421905
empty,1,455,2.6580113966571126
empty,1,1941,3.2880255353883627
pCL2,2,29087,4.463698930919374
pCL2,3,40247,4.604733513722452
pCL1,1,12209,4.086680093734625
pCL1,3,10807,4.033705151467852
pCL2,1,13476,4.1295610023090825
empty,1,456,2.6589648426644352
pCL2,2,30856,4.489339625857985
pCL2,3,35545,4.550778518564257
pCL1,1,16310,4.212453961040276
pCL1,2,14639,4.1655114107855535
pCL2,2,25145,4.4004516399569455
pCL1,2,12138,4.084147133154448
pCL1,3,18655,4.270795253376848
pNOS,1,201669,5.304639144798569
pCH2,1,373956,5.572820505726287
pCH2,3,256954,5.409855382731082
pNOS,2,241552,5.383010637704832
pNOS,3,181751,5.259476809040221
35s,2,483796,5.684662273316665
35s,3,393301,5.594725050640435
pNOS,1,154352,5.188512261180191
pCH2,1,269931,5.4312527636073815
pCH2,2,444983,5.648343419638865
pCH2,3,187941,5.274021533327708
pNOS,2,171134,5.233336301449171
pNOS,3,107233,5.030328456181819
35s,3,454358,5.657398179192253
pNOS,1,224497,5.35121054181083
pCH2,1,301242,5.4789155222983155
pCH2,2,575236,5.759846057680995
pCH2,3,194213,5.288278296835135
pNOS,2,306740,5.486770413238943
35s,1,361851,5.5585297771662505
35s,2,506716,5.70476461773453
35s,3,359190,5.555324237223348
pCH2,3,239821,5.379887209558503
pNOS,3,136043,5.133676200363596
35s,1,341611,5.533531846684373
35s,2,418323,5.62151174337212
pNOS,1,197955,5.296566475752207
pCH2,1,308476,5.489221380774375
pCH2,2,478067,5.679488766258985
pNOS,2,211637,5.32559159668595
pNOS,3,157099,5.196173420585078
35s,1,364758,5.562004825768381
35s,2,427277,5.630709515700596
35s,3,452202,5.655332478812178
pNOS,1,127463,5.105384135924116
pCH2,1,437410,5.640888707588621
pCH2,2,586618,5.768355384898776
