pCONS_label,replicate,GFP,mScarlet,log_GFP,log_mScarlet,exp
pCH2,1,577621,62889,5.761642974067004,4.798574689053007,hi
pCH2,1,553749,66739,5.743312954951444,4.824379695010779,hi
pCH2,2,1005263,116549,6.0022796980811,5.066508551590228,hi
pCH2,3,1006717,117147,6.002907402418733,5.068731171292963,hi
pCH2,1,546860,47470,5.737876158125802,4.67641923171836,hi
pCH2,1,443796,33561,5.647183383552239,4.525834892800632,hi
pCH2,2,1102135,135445,6.042234794301741,5.131762977530949,hi
pCH2,3,329282,42470,5.517567990917391,4.62808226099068,hi
pCH2,1,953226,81709,5.979195879564613,4.912269895394915,hi
pCH2,2,999370,89437,5.999726308254446,4.951517223175433,hi
pCH2,3,651655,108658,5.814017731849598,5.036061706983754,hi
pCH2,2,1006105,128972,6.002643307301415,5.110495434598467,hi
pCH2,3,1151720,134512,6.061346908570349,5.128761030073088,hi
pCH2,1,848063,65825,5.9284281158605685,4.818390867778105,hi
pCH2,2,1392313,113105,6.143736878156941,5.053481804080292,hi
pCH2,3,668073,79336,5.824823920207587,4.899470300225354,hi
pCH2,2,917158,74302,5.96244415858965,4.871000503898848,hi
pCH2,3,924338,103051,5.965830807468151,5.013052210500236,hi
pCM5,1,218880,240556,5.340206080040022,5.38121619364097,hi
pCL2,1,21975,70836,4.341928883745809,4.85025402926882,hi
pCL2,2,49660,136025,4.696006715218545,5.133618734577942,hi
pCL2,3,40788,156451,4.610532410630684,5.194378343404832,hi
pCM5,2,253910,191455,5.4046798054790655,5.282066712778533,hi
pCM5,3,237112,290951,5.374953533741602,5.463819854204238,hi
pCM2,1,208277,221424,5.318641313516671,5.345224691983854,hi
pCM2,2,132753,154443,5.123044344207172,5.188768229048823,hi
pCM2,3,196671,200266,5.293740326017509,5.301607223553398,hi
pCH5,1,440246,43352,5.643695418731718,4.637009138004334,hi
pCH5,2,709820,114519,5.851148231933622,5.058877547030507,hi
pCH5,3,622690,91988,5.794271891287979,4.963731176544522,hi
pCM5,1,147941,161710,5.170088549968256,5.208736877114406,hi
pCL2,2,31933,97845,4.504239720989899,4.990538637578169,hi
pCL2,3,38188,131646,4.5819269138928655,5.119407667814901,hi
pCM5,2,219406,167187,5.341248499862492,5.223202504874761,hi
pCM5,3,163029,191247,5.21226486464773,5.281594631309762,hi
pCM2,1,193845,208577,5.287454603380811,5.31926641663222,hi
pCM2,2,125634,132212,5.099107187284623,5.12127087494741,hi
pCM2,3,194698,180006,5.289361490331408,5.255286981344767,hi
pCH5,2,774185,134516,5.888844752515954,5.128773944549854,hi
pCM5,1,144727,245725,5.16054955984853,5.390449343739813,hi
pCL2,1,37270,122724,4.571359392753839,5.088929501996178,hi
pCL2,2,14442,31418,4.159627340658673,4.497178535363107,hi
pCL2,3,44754,135901,4.650831857535573,5.133222652412289,hi
pCM5,2,228452,215495,5.358794964471661,5.333437197941757,hi
pCM5,3,217643,254973,5.337744703607999,5.406494193877717,hi
pCM2,1,89801,72119,4.953281172881823,4.858049696177197,hi
pCM2,2,182467,185992,5.261184331730557,5.269494264483644,hi
pCM2,3,207044,185721,5.316062649450096,5.268861013424638,hi
pCH5,2,520514,74231,5.716432415001173,4.870585311173143,hi
pCH5,3,562084,93762,5.749801223060935,4.972026862536003,hi
pCL2,1,31079,83241,4.492467036465145,4.920337288885496,hi
pCL2,2,47376,149615,4.675558390045224,5.174975136915198,hi
