pCONS_label,replicate,GFP,mScarlet,log_GFP,log_mScarlet
pCH2,1,664267,153840,5.8223426777405285,5.187069271230423
pCM2,1,113637,22339,5.05551975989212,4.349063728125951
pCM2,2,154535,40381,5.189026856481947,4.606177069662212
pCM2,3,88687,19226,4.947859964340909,4.283888937976056
pCH2,2,836203,211373,5.922311721311871,5.325049511354122
pCH4,1,858421,173301,5.9337003334599485,5.238801068733703
pCH4,2,462475,110966,5.665088261063159,5.045189931270369
pCH4,3,865110,227867,5.937071332153503,5.357681434633548
pCM5,3,305178,19731,5.484553222523405,4.295149096578919
pCH2,1,728766,162668,5.862588102772808,5.211302127059295
pCM2,2,224497,72383,5.35121054181083,4.859636578999392
pCH2,2,945259,249072,5.975550821058884,5.396324908070515
pCH4,2,554214,153735,5.743677492297802,5.1867727521871245
pCM5,1,400550,22753,5.602656736072522,4.357038666819455
pCM5,2,290927,16963,5.463784028592782,4.229502662085074
pCM5,3,293445,15457,5.467526713982803,4.189125206925528
pCH2,1,679363,145547,5.832101890291735,5.163003258233276
pCM2,1,182433,43004,5.261103399900316,4.633508853187346
pCM2,2,143870,33094,5.157970243604713,4.519749262564474
pCH4,1,572594,120901,5.757846792898741,5.082429893025253
pCH4,2,655802,162066,5.816772736803672,5.209691913299069
pCH4,3,769292,189130,5.886091216158116,5.2767604225577776
pCM5,1,548679,35254,5.739318338438015,4.547208400174844
pCM5,2,230954,12494,5.363525488396309,4.096701501610003
pCH2,1,722680,164457,5.858946035886088,5.216052363660409
pCM2,1,169644,41823,5.229538504046144,4.621415181918193
pCM2,2,84019,18931,4.92437750822951,4.277173555485786
pCM2,3,126200,32330,5.101059354908116,4.509605704611556
pCH2,2,880140,202006,5.944551758958712,5.305364269091142
pCH2,3,848273,197817,5.928535643899431,5.296263611269971
pCH4,1,557045,111361,5.745890280384284,5.046733122163505
pCH4,3,845029,214030,5.926871613474972,5.330474651486137
pCM5,1,502358,29991,5.701013322746023,4.4769909468279305
pCM5,3,252599,14435,5.4024316269186725,4.159416788216739
pCM2,1,145237,35485,5.16207726959295,4.5500448095649055
pCM2,2,182960,44959,5.262356151598692,4.652816642878803
pCM2,3,159392,37325,5.2024665200522895,4.571999816397063
pCH2,2,709308,178006,5.850834858109157,5.250434641202012
pCH4,3,1058802,244420,6.024814752980787,5.388136739763074
pCM5,1,574727,32514,5.75946160025806,4.512070401396034
pCM5,2,134134,6782,5.127538875844127,3.831357785442068
pCM5,3,211747,16753,5.325817266026711,4.224092588494267
pCM2,3,173529,43797,5.239372064069388,4.641444363287957
pCH2,2,1014370,260543,6.006196396465182,5.415879409484313
pCH4,1,539732,117403,5.732178167576855,5.069679194584502
pCH4,2,428792,96980,5.632246674100139,4.986682179779505
pCM5,1,451765,28343,5.65491258139695,4.45244581678267
pCM5,2,185293,10865,5.267859012849408,4.036029730656543
pCM2,1,231382,66176,5.364329570671333,4.820700512741811
pCM2,2,158752,36116,5.200719205356092,4.557699644351215
pCM2,3,155726,36086,5.192361128392462,4.557338744785915
pCH4,1,526514,108515,5.721409923559323,5.035489774746435
pCH4,2,487034,119124,5.6875592805102455,5.07599926792714
pCH4,3,720610,176282,5.857700284590165,5.24620796913557
pCM5,2,273656,17734,5.43720497463575,4.24880670412872
pCM5,3,243166,15668,5.385902850844757,4.195013562875828
pCM2,1,191942,52046,5.283170015759188,4.716387357387739
pCM2,3,132054,35643,5.120751560799416,4.551974250600909
pCH2,2,916177,221822,5.961979384909544,5.34600461667692
pCH4,1,522268,108843,5.717893416897365,5.036800503573451
pCH4,2,549216,131107,5.739743180805236,5.117625879944967
pCH4,3,749744,163740,5.874912998903298,5.21415478605354
pCM5,1,390141,24124,5.591221592808852,4.382449319798916
pCM5,2,132252,6343,5.121402248438007,3.802294711397464
pCM5,3,230999,14184,5.363610099825383,4.151798722592861
pCH5,1,481823,101070,5.6828875273656685,5.004622265700783
pCH5,3,812302,180886,5.90971752252881,5.257404955151513
pCL2,1,24740,3159,4.393399695293102,3.499549625905149
pCL2,2,32469,4912,4.51146891316651,3.691258358133111
